Date,Symbol,Open,High,Low,Close,Matched_Value,Matched_Volume,Put_through_Volume,Put_through_Value,Percentage_Change
2001-06-25,VNINDEX,571.04,571.04,571.04,571.04,23570700.0,268100,0,0.0,0.014280639431616171
2001-06-27,VNINDEX,531.93,531.93,531.93,531.93,6020600.0,79700,0,0.0,-0.06848907256934722
2001-06-29,VNINDEX,500.28,500.28,500.28,500.28,9551500.0,118400,0,0.0,-0.05950031019119051
2001-07-02,VNINDEX,491.17,491.17,491.17,491.17,13943000.0,181200,0,0.0,-0.01820980251059401
2001-07-04,VNINDEX,512.8,512.8,512.8,512.8,22209600.0,268300,0,0.0,0.04403770588594558
2001-07-06,VNINDEX,502.93,502.93,502.93,502.93,18550200.0,223400,0,0.0,-0.019247269890795504
2001-07-09,VNINDEX,470.83,470.83,470.83,470.83,8362100.0,108800,0,0.0,-0.06382597975861459
2001-07-11,VNINDEX,436.13,436.13,436.13,436.13,6043850.0,92500,0,0.0,-0.07369963681158798
2001-07-13,VNINDEX,416.46,416.46,416.46,416.46,10366400.0,169000,0,0.0,-0.04510123128425014
2001-07-16,VNINDEX,411.43,411.43,411.43,411.43,7801350.0,121300,0,0.0,-0.012077990683378892
2001-07-18,VNINDEX,438.12,438.12,438.12,438.12,7965950.0,98700,0,0.0,0.06487130253019946
2001-07-20,VNINDEX,466.67,466.67,466.67,466.67,4370650.0,56400,0,0.0,0.06516479503332429
2001-07-23,VNINDEX,438.33,438.33,438.33,438.33,19581800.0,274500,0,0.0,-0.0607281376561597
2001-07-25,VNINDEX,450.87,450.87,450.87,450.87,10690900.0,142100,0,0.0,0.02860858257477239
2001-07-27,VNINDEX,445.37,445.37,445.37,445.37,7299850.0,96400,0,0.0,-0.012198638188391286
2001-07-30,VNINDEX,422.46,422.46,422.46,422.46,6736300.0,100000,0,0.0,-0.051440375418191686
2001-08-01,VNINDEX,395.63,395.63,395.63,395.63,7209900.0,119700,0,0.0,-0.0635089712635516
2001-08-03,VNINDEX,371.76,371.76,371.76,371.76,3758200.0,63900,0,0.0,-0.060334150595253155
2001-08-06,VNINDEX,350.69,350.69,350.69,350.69,2876450.0,49200,0,0.0,-0.056676350333548564
2001-08-08,VNINDEX,373.63,373.63,373.63,373.63,12841300.0,220300,0,0.0,0.06541389831475097
2001-08-10,VNINDEX,394.18,394.18,394.18,394.18,9960900.0,163700,0,0.0,0.055000936755613905
2001-08-13,VNINDEX,368.34,368.34,368.34,368.34,7003950.0,122400,0,0.0,-0.06555380790501808
2001-08-15,VNINDEX,344.31,344.31,344.31,344.31,3646990.0,69300,0,0.0,-0.06523863821469289
2001-08-17,VNINDEX,321.83,321.83,321.83,321.83,8761770.0,182000,0,0.0,-0.06529000029043597
2001-08-20,VNINDEX,302.25,302.25,302.25,302.25,9202990.0,194600,0,0.0,-0.06083957368797188
2001-08-22,VNINDEX,320.98,320.98,320.98,320.98,7317000.0,146500,0,0.0,0.061968569065343315
2001-08-24,VNINDEX,300.03,300.03,300.03,300.03,6867720.0,146100,0,0.0,-0.0652688641036826
2001-08-27,VNINDEX,279.65,279.65,279.65,279.65,2315790.0,53700,0,0.0,-0.0679265406792654
2001-08-29,VNINDEX,261.35,261.35,261.35,261.35,4442030.0,117500,0,0.0,-0.06543894153406027
2001-08-31,VNINDEX,277.4,277.4,277.4,277.4,12092840.0,280400,0,0.0,0.06141189975129113
2001-09-05,VNINDEX,296.43,296.43,296.43,296.43,3330250.0,69300,0,0.0,0.06860129776496038
2001-09-07,VNINDEX,307.76,307.76,307.76,307.76,9690200.0,204300,0,0.0,0.03822150254697565
2001-09-10,VNINDEX,286.55,286.55,286.55,286.55,11242260.0,259200,0,0.0,-0.06891733818559909
2001-09-12,VNINDEX,284.68,284.68,284.68,284.68,8649990.0,192100,0,0.0,-0.00652591170825334
2001-09-14,VNINDEX,274.64,274.64,274.64,274.64,6627520.0,150200,0,0.0,-0.03526766896164124
2001-09-17,VNINDEX,266.09,266.09,266.09,266.09,5360250.0,126200,0,0.0,-0.031131663268278542
2001-09-19,VNINDEX,273.37,273.37,273.37,273.37,6494230.0,150000,0,0.0,0.027359164192566565
2001-09-21,VNINDEX,272.03,272.03,272.03,272.03,4448350.0,102000,0,0.0,-0.00490178146833975
2001-09-24,VNINDEX,259.75,259.75,259.75,259.75,5550410.0,135200,0,0.0,-0.045142079917656064
2001-09-26,VNINDEX,249.72,249.72,249.72,249.72,4985500.0,125200,0,0.0,-0.03861405197305101
2001-09-28,VNINDEX,244.46,244.46,244.46,244.46,5135400.0,131400,0,0.0,-0.02106359122216883
2001-10-01,VNINDEX,229.06,229.06,229.06,229.06,5215630.0,141500,0,0.0,-0.06299599116419863
2001-10-03,VNINDEX,214.29,214.29,214.29,214.29,3261660.0,89200,0,0.0,-0.06448092202916267
2001-10-05,VNINDEX,203.12,203.12,203.12,203.12,6589840.0,208100,0,0.0,-0.052125624154183536
2001-10-08,VNINDEX,217.1,217.1,217.1,217.1,4400530.0,111400,170000,4930000.0,0.06882630957069713
2001-10-10,VNINDEX,221.18,221.18,221.18,221.18,56710.0,1100,155000,4687200.0,0.01879318286503917
2001-10-12,VNINDEX,225.27,225.27,225.27,225.27,36000.0,900,0,0.0,0.018491726195858593
2001-10-15,VNINDEX,229.35,229.35,229.35,229.35,481320.0,14600,973500,31054650.0,0.018111599414036395
2001-10-17,VNINDEX,233.48,233.48,233.48,233.48,333800.0,9800,0,0.0,0.01800741225201663
2001-10-19,VNINDEX,237.62,237.62,237.62,237.62,290560.0,8400,0,0.0,0.017731711495631464
2001-10-22,VNINDEX,242.01,242.01,242.01,242.01,802210.0,15100,0,0.0,0.018474875852200867
2001-10-24,VNINDEX,246.41,246.41,246.41,246.41,481020.0,11600,0,0.0,0.01818106689806198
2001-10-26,VNINDEX,250.85,250.85,250.85,250.85,847730.0,21400,0,0.0,0.018018749239073095
2001-10-29,VNINDEX,255.55,255.55,255.55,255.55,15194960.0,389900,0,0.0,0.018736296591588708
2001-10-31,VNINDEX,260.29,260.29,260.29,260.29,1856940.0,46600,0,0.0,0.018548229309332864
2001-11-02,VNINDEX,265.03,265.03,265.03,265.03,2845590.0,64000,0,0.0,0.018210457566560256
2001-11-05,VNINDEX,269.77,269.77,269.77,269.77,3508460.0,68200,0,0.0,0.017884767762140097
2001-11-07,VNINDEX,274.89,274.89,274.89,274.89,896500.0,18000,0,0.0,0.01897913037031551
2001-11-09,VNINDEX,280.03,280.03,280.03,280.03,1023530.0,20100,0,0.0,0.01869838844628746
2001-11-12,VNINDEX,285.06,285.06,285.06,285.06,1207030.0,23100,0,0.0,0.01796236117558836
2001-11-14,VNINDEX,290.51,290.51,290.51,290.51,2711910.0,28800,0,0.0,0.019118782010804747
2001-11-16,VNINDEX,295.97,295.97,295.97,295.97,1530660.0,22200,0,0.0,0.018794533750989828
2001-11-19,VNINDEX,301.09,301.09,301.09,301.09,4196160.0,51000,0,0.0,0.01729905057945036
2001-11-21,VNINDEX,296.11,296.11,296.11,296.11,12837090.0,281600,0,0.0,-0.016539905011790368
2001-11-23,VNINDEX,292.17,292.17,292.17,292.17,5739220.0,127100,0,0.0,-0.01330586606328732
2001-11-26,VNINDEX,296.9,296.9,296.9,296.9,10776800.0,249600,0,0.0,0.016189204914946576
2001-11-28,VNINDEX,293.03,293.03,293.03,293.03,6177820.0,130800,0,0.0,-0.013034691815426047
2001-11-30,VNINDEX,288.52,288.52,288.52,288.52,1257600.0,25900,0,0.0,-0.01539091560591066
2001-12-03,VNINDEX,283.02,283.02,283.02,283.02,676310.0,12400,0,0.0,-0.019062803271870266
2001-12-05,VNINDEX,279.15,279.15,279.15,279.15,200160.0,4800,0,0.0,-0.013673945304218837
2001-12-07,VNINDEX,275.49,275.49,275.49,275.49,2886530.0,60400,0,0.0,-0.013111230521224981
2001-12-10,VNINDEX,271.62,271.62,271.62,271.62,5639850.0,130900,0,0.0,-0.014047696831100964
2001-12-12,VNINDEX,267.83,267.83,267.83,267.83,2578370.0,59700,0,0.0,-0.013953317134231757
2001-12-14,VNINDEX,263.04,263.04,263.04,263.04,1728370.0,42100,0,0.0,-0.017884478960534578
2001-12-17,VNINDEX,259.08,259.08,259.08,259.08,470890.0,12500,0,0.0,-0.015054744525547559
2001-12-19,VNINDEX,247.26,247.26,247.26,247.26,3054350.0,77200,0,0.0,-0.04562297359888834
2001-12-21,VNINDEX,250.95,250.95,250.95,250.95,13125490.0,343800,0,0.0,0.014923562242174171
2001-12-24,VNINDEX,248.05,248.05,248.05,248.05,5573690.0,142800,0,0.0,-0.011556086869894289
2001-12-26,VNINDEX,242.75,242.75,242.75,242.75,4512450.0,125100,0,0.0,-0.021366659947591238
2001-12-28,VNINDEX,239.27,239.27,239.27,239.27,2110730.0,70800,0,0.0,-0.014335736354273876
2001-12-31,VNINDEX,235.4,235.4,235.4,235.4,1004900.0,34100,0,0.0,-0.016174196514397998
2002-01-02,VNINDEX,231.7,231.7,231.7,231.7,1785750.0,57900,0,0.0,-0.01571792693288032
2002-01-04,VNINDEX,227.79,227.79,227.79,227.79,1071410.0,35200,0,0.0,-0.016875269745360355
2002-01-07,VNINDEX,225.95,225.95,225.95,225.95,8618060.0,268600,0,0.0,-0.008077615347469203
2002-01-09,VNINDEX,222.9,222.9,222.9,222.9,5135290.0,171600,0,0.0,-0.013498561628678796
2002-01-11,VNINDEX,219.22,219.22,219.22,219.22,2426680.0,74900,0,0.0,-0.016509645580978005
2002-01-14,VNINDEX,214.16,214.16,214.16,214.16,1506350.0,49400,0,0.0,-0.023081835598941725
2002-01-16,VNINDEX,210.68,210.68,210.68,210.68,697430.0,26400,0,0.0,-0.016249533059394805
2002-01-18,VNINDEX,206.79,206.79,206.79,206.79,671450.0,24500,0,0.0,-0.018464021264476993
2002-01-21,VNINDEX,203.27,203.27,203.27,203.27,1912880.0,69200,0,0.0,-0.017022099714686267
2002-01-23,VNINDEX,206.01,206.01,206.01,206.01,8896300.0,290900,0,0.0,0.013479608402617194
2002-01-28,VNINDEX,210.76,210.76,210.76,210.76,2315810.0,69300,0,0.0,0.023057133148876252
2002-01-30,VNINDEX,207.55,207.55,207.55,207.55,12603830.0,420200,0,0.0,-0.015230594040614776
2002-02-01,VNINDEX,204.48,204.48,204.48,204.48,7230420.0,259200,0,0.0,-0.014791616477957237
2002-02-04,VNINDEX,203.77,203.77,203.77,203.77,6658530.0,246000,0,0.0,-0.003472222222222099
2002-02-06,VNINDEX,205.37,205.37,205.37,205.37,4723810.0,167700,0,0.0,0.007851989988712837
2002-02-08,VNINDEX,205.2,205.2,205.2,205.2,6602460.0,236100,20000,526000.0,-0.0008277742610898198
2002-02-18,VNINDEX,202.89,202.89,202.89,202.89,1381940.0,49100,0,0.0,-0.011257309941520521
2002-02-20,VNINDEX,199.52,199.52,199.52,199.52,2158520.0,74800,0,0.0,-0.016609985706540376
2002-02-22,VNINDEX,196.58,196.58,196.58,196.58,3185210.0,105800,0,0.0,-0.014735364875701706
2002-02-25,VNINDEX,193.79,193.79,193.79,193.79,2441130.0,79200,0,0.0,-0.014192695085970208
2002-02-27,VNINDEX,191.1,191.1,191.1,191.1,1985120.0,71900,0,0.0,-0.013881005211827224
2002-03-01,VNINDEX,193.59,193.59,193.59,193.59,10972870.0,397800,22100,521560.0,0.013029827315541587
2002-03-04,VNINDEX,190.98,190.98,190.98,190.98,3954850.0,146700,38900,1506660.0,-0.013482101348210151
2002-03-05,VNINDEX,188.22,188.22,188.22,188.22,3580370.0,128300,0,0.0,-0.014451775054979521
2002-03-06,VNINDEX,185.74,185.74,185.74,185.74,3610110.0,137500,0,0.0,-0.013176070555732555
2002-03-07,VNINDEX,183.2,183.2,183.2,183.2,3372320.0,121800,32200,758900.0,-0.01367502961128475
2002-03-08,VNINDEX,181.2,181.2,181.2,181.2,3670040.0,147800,0,0.0,-0.01091703056768556
2002-03-11,VNINDEX,180.73,180.73,180.73,180.73,8102380.0,312200,0,0.0,-0.002593818984547469
2002-03-12,VNINDEX,182.92,182.92,182.92,182.92,2599580.0,102200,20000,790000.0,0.012117523377413786
2002-03-13,VNINDEX,185.66,185.66,185.66,185.66,1988580.0,63300,0,0.0,0.014979225891099901
2002-03-14,VNINDEX,188.97,188.97,188.97,188.97,1980590.0,59600,0,0.0,0.0178282882688785
2002-03-15,VNINDEX,192.39,192.39,192.39,192.39,4883160.0,171500,0,0.0,0.01809811081123991
2002-03-18,VNINDEX,190.3,190.3,190.3,190.3,8639220.0,326600,27200,729120.0,-0.010863350485991852
2002-03-19,VNINDEX,187.06,187.06,187.06,187.06,3525190.0,134200,10000,422000.0,-0.017025748817656394
2002-03-20,VNINDEX,189.05,189.05,189.05,189.05,8615770.0,312600,20000,490000.0,0.010638297872340496
2002-03-21,VNINDEX,189.26,189.26,189.26,189.26,2740540.0,97600,20000,506000.0,0.0011108172441152142
2002-03-22,VNINDEX,187.67,187.67,187.67,187.67,3097430.0,113000,0,0.0,-0.008401141287118219
2002-03-25,VNINDEX,188.71,188.71,188.71,188.71,2177900.0,81300,0,0.0,0.0055416422443652635
2002-03-26,VNINDEX,191.97,191.97,191.97,191.97,2842530.0,95000,0,0.0,0.0172751841449843
2002-03-27,VNINDEX,195.11,195.11,195.11,195.11,2939930.0,105700,0,0.0,0.016356722404542445
2002-03-28,VNINDEX,197.89,197.89,197.89,197.89,3300700.0,118700,0,0.0,0.014248372712828417
2002-03-29,VNINDEX,200.15,200.15,200.15,200.15,2670820.0,93300,0,0.0,0.011420486128657537
2002-04-01,VNINDEX,203.14,203.14,203.14,203.14,3960540.0,129700,0,0.0,0.014938795903072677
2002-04-02,VNINDEX,203.22,203.22,203.22,203.22,4351130.0,150000,0,0.0,0.0003938170719701706
2002-04-03,VNINDEX,202.16,202.16,202.16,202.16,8953890.0,310700,33500,1129900.0,-0.00521602204507432
2002-04-04,VNINDEX,201.38,201.38,201.38,201.38,4065190.0,139700,0,0.0,-0.0038583300356153094
2002-04-05,VNINDEX,198.77,198.77,198.77,198.77,2974670.0,104700,0,0.0,-0.012960572052835406
2002-04-08,VNINDEX,198.52,198.52,198.52,198.52,3637870.0,126900,0,0.0,-0.001257735070684718
2002-04-09,VNINDEX,200.48,200.48,200.48,200.48,3273790.0,116000,0,0.0,0.009873060648801113
2002-04-10,VNINDEX,200.85,200.85,200.85,200.85,3458540.0,119000,0,0.0,0.001845570630486959
2002-04-11,VNINDEX,200.36,200.36,200.36,200.36,2816480.0,97500,0,0.0,-0.002439631565845035
2002-04-12,VNINDEX,199.69,199.69,199.69,199.69,2319530.0,79800,0,0.0,-0.0033439808344979394
2002-04-15,VNINDEX,200.4,200.4,200.4,200.4,2828620.0,94900,0,0.0,0.003555511042115267
2002-04-16,VNINDEX,198.44,198.44,198.44,198.44,3014420.0,100900,0,0.0,-0.009780439121756523
2002-04-17,VNINDEX,197.12,197.12,197.12,197.12,2307990.0,85500,0,0.0,-0.006651884700665134
2002-04-18,VNINDEX,199.31,199.31,199.31,199.31,2609230.0,88200,0,0.0,0.011109983766233844
2002-04-19,VNINDEX,201.43,201.43,201.43,201.43,3439000.0,118800,0,0.0,0.01063669660328137
2002-04-22,VNINDEX,201.14,201.14,201.14,201.14,3149230.0,97600,0,0.0,-0.0014397061013752266
2002-04-23,VNINDEX,202.81,202.81,202.81,202.81,4161110.0,128900,20000,719000.0,0.008302674753902783
2002-04-24,VNINDEX,205.65,205.65,205.65,205.65,4678300.0,138900,11000,485100.0,0.014003254277402455
2002-04-25,VNINDEX,207.06,207.06,207.06,207.06,5658850.0,175600,644200,19754000.0,0.006856309263311378
2002-04-26,VNINDEX,208.48,208.48,208.48,208.48,5157180.0,162800,20000,876000.0,0.00685791558002502
2002-05-02,VNINDEX,209.52,209.52,209.52,209.52,3441390.0,107400,11800,509760.0,0.004988488104374689
2002-05-03,VNINDEX,212.95,212.95,212.95,212.95,4597400.0,147800,25000,653000.0,0.01637075219549433
2002-05-06,VNINDEX,214.23,214.23,214.23,214.23,5103400.0,162800,0,0.0,0.006010800657431314
2002-05-07,VNINDEX,210.43,210.43,210.43,210.43,5228370.0,163500,0,0.0,-0.017737945199085003
2002-05-08,VNINDEX,207.05,207.05,207.05,207.05,4692330.0,149700,20000,65600.0,-0.016062348524449876
2002-05-09,VNINDEX,208.85,208.85,208.85,208.85,3974300.0,132400,0,0.0,0.008693552282057482
2002-05-10,VNINDEX,211.88,211.88,211.88,211.88,3841950.0,121900,0,0.0,0.014508020110126862
2002-05-13,VNINDEX,209.62,209.62,209.62,209.62,5657930.0,191000,0,0.0,-0.010666414951859493
2002-05-14,VNINDEX,209.88,209.88,209.88,209.88,2869690.0,93100,10000,234000.0,0.001240339662246015
2002-05-15,VNINDEX,209.82,209.82,209.82,209.82,5530660.0,178000,10000,433000.0,-0.0002858776443682709
2002-05-16,VNINDEX,209.08,209.08,209.08,209.08,4546920.0,152200,13400,388600.0,-0.00352683252311492
2002-05-17,VNINDEX,209.79,209.79,209.79,209.79,3869430.0,123900,325460,7778494.0,0.0033958293476179513
2002-05-20,VNINDEX,208.14,208.14,208.14,208.14,4072040.0,136000,0,0.0,-0.007865007865007878
2002-05-21,VNINDEX,208.93,208.93,208.93,208.93,3912930.0,128700,0,0.0,0.003795522244643079
2002-05-22,VNINDEX,209.66,209.66,209.66,209.66,2358720.0,80000,0,0.0,0.0034939932034652177
2002-05-23,VNINDEX,208.93,208.93,208.93,208.93,3006950.0,100300,0,0.0,-0.003481827721072195
2002-05-24,VNINDEX,208.04,208.04,208.04,208.04,4413980.0,149300,10000,431000.0,-0.00425979993299197
2002-05-27,VNINDEX,206.3,206.3,206.3,206.3,4311640.0,141800,0,0.0,-0.008363776196885109
2002-05-28,VNINDEX,205.02,205.02,205.02,205.02,5852000.0,190100,25000,714500.0,-0.006204556471158473
2002-05-29,VNINDEX,203.65,203.65,203.65,203.65,4609850.0,150600,10000,322000.0,-0.0066822749000098325
2002-05-30,VNINDEX,203.77,203.77,203.77,203.77,3011600.0,97100,30000,960000.0,0.0005892462558310108
2002-05-31,VNINDEX,207.12,207.12,207.12,207.12,2720340.0,90600,71000,2326300.0,0.01644010403886731
2002-06-03,VNINDEX,207.81,207.81,207.81,207.81,3023940.0,94700,0,0.0,0.003331402085747337
2002-06-04,VNINDEX,205.68,205.68,205.68,205.68,1656720.0,57000,20000,880000.0,-0.010249747365381867
2002-06-05,VNINDEX,205.48,205.48,205.48,205.48,892100.0,28900,20000,872000.0,-0.0009723842862700005
2002-06-06,VNINDEX,205.07,205.07,205.07,205.07,2141360.0,74600,0,0.0,-0.001995328012458608
2002-06-07,VNINDEX,203.06,203.06,203.06,203.06,1952440.0,64900,0,0.0,-0.009801531184473578
2002-06-10,VNINDEX,204.88,204.88,204.88,204.88,1979330.0,63200,0,0.0,0.008962868117797562
2002-06-11,VNINDEX,203.53,203.53,203.53,203.53,933980.0,31300,45300,1294760.0,-0.00658922295978126
2002-06-12,VNINDEX,203.79,203.79,203.79,203.79,1514540.0,55200,20000,586000.0,0.0012774529553383207
2002-06-13,VNINDEX,202.35,202.35,202.35,202.35,1466560.0,54300,0,0.0,-0.0070660974532607
2002-06-14,VNINDEX,200.75,200.75,200.75,200.75,2888240.0,100700,0,0.0,-0.007907091672844091
2002-06-17,VNINDEX,197.77,197.77,197.77,197.77,2873540.0,104900,0,0.0,-0.014844333748443295
2002-06-18,VNINDEX,195.59,195.59,195.59,195.59,1519580.0,58800,0,0.0,-0.011022905395156046
2002-06-19,VNINDEX,192.13,192.13,192.13,192.13,1895700.0,68100,75000,2100000.0,-0.017690065954292233
2002-06-20,VNINDEX,193.32,193.32,193.32,193.32,3874910.0,141200,0,0.0,0.006193723000051943
2002-06-21,VNINDEX,196.89,196.89,196.89,196.89,802620.0,22100,10000,402000.0,0.018466790813159495
2002-06-24,VNINDEX,200.5,200.5,200.5,200.5,1012570.0,29900,0,0.0,0.018335110975671753
2002-06-25,VNINDEX,202.4,202.4,202.4,202.4,2712100.0,86800,30000,940000.0,0.009476309226932766
2002-06-26,VNINDEX,200.5,200.5,200.5,200.5,4721460.0,152400,12000,492000.0,-0.009387351778656128
2002-06-27,VNINDEX,199.61,199.61,199.61,199.61,2923750.0,95900,21600,646600.0,-0.00443890274314207
2002-06-28,VNINDEX,202.06,202.06,202.06,202.06,3818380.0,120700,0,0.0,0.012273934171634693
2002-07-01,VNINDEX,200.26,200.26,200.26,200.26,2004290.0,68100,0,0.0,-0.00890824507572019
2002-07-02,VNINDEX,199.94,199.94,199.94,199.94,2234420.0,78000,24000,967200.0,-0.001597922700489307
2002-07-03,VNINDEX,199.61,199.61,199.61,199.61,2189700.0,71900,58900,2409900.0,-0.0016504951485444286
2002-07-04,VNINDEX,199.7,199.7,199.7,199.7,1984160.0,71600,20000,820000.0,0.0004508792144681806
2002-07-05,VNINDEX,200.5,200.5,200.5,200.5,2281050.0,82800,0,0.0,0.0040060090135203286
2002-07-08,VNINDEX,200.19,200.19,200.19,200.19,2057110.0,68000,0,0.0,-0.0015461346633416362
2002-07-09,VNINDEX,199.0,199.0,199.0,199.0,2658880.0,91600,22000,534800.0,-0.005944352864778457
2002-07-10,VNINDEX,197.27,197.27,197.27,197.27,2911530.0,105500,125900,5026800.0,-0.008693467336683414
